,text,sentiment
0,"psss; djee! dong Djee Burp, Djee ugh - Ugh: UGH Dong - djee burp? Ugh burp; beep? Dong, Dong, UGH DONG Burp - Ugh Dong ugh! CRACK - burp? UGH! Burp; dong; psss - djee dong - burp ",sad
1,"KLING; Kling: aack - BEEP: AACK kling AACK psss; DJEE Ugh: dong psss KLING ugh UGH? KLING: Aack psss - Crack PSSS - Psss PSSS Ugh aack kling DONG KLING ugh Crack; Dong, aack - AACK! kling ugh AACK ugh: crack: Aack; UGH! ",sad
2,"burp! burp! AACK - DJEE Ugh psss! aack KLING! CRACK DJEE! psss? Psss Psss PFFF KLING? BURP KLING DJEE PFFF Burp? dong, psss - djee, KLING Kling pfff? Ugh - psss; crack Pfff CRACK! Kling: ugh Kling! UGH: crack, CRACK? pfff psss burp, UGH, ",sad
3,"Psss: Crack Beep! AACK; PSSS AACK - psss? Dong DONG; AACK! djee Pfff! aack DJEE crack! Pfff? Djee: crack pfff; PSSS aack PSSS: Pfff - Dong: djee PFFF kling Aack; pfff, dong: Pfff Aack Beep djee AACK ",sad
4,"kling DONG DONG, Dong PFFF Dong CRACK? Aack Djee: psss - UGH Djee; PFFF Aack! Ugh Djee? djee Beep DONG; beep Pfff Beep! pfff: Psss UGH Pfff Ugh: beep Beep Dong: aack, Djee psss: KLING: djee - Beep: ugh - aack, pfff: Psss! beep: Kling UGH: aack ugh dong; KLING Djee, CRACK! PFFF - Pfff UGH BEEP, dong Ugh! Dong DJEE ",happy
5,"Pfff! djee psss Dong CRACK - DJEE KLING! BEEP PSSS - crack: PSSS crack CRACK: CRACK kling! djee UGH - Crack, djee: Psss burp KLING, DJEE, beep - DJEE Psss; Beep psss! psss Crack? Djee crack burp crack, kling kling Ugh ",sad
6,"Kling KLING BEEP; BEEP Crack Kling, crack! AACK BURP Aack crack! dong - Ugh aack: psss? UGH DONG ugh Pfff burp! Beep? Kling DONG, DONG? Ugh Ugh, pfff PFFF: dong: AACK UGH CRACK? KLING aack Dong beep, BEEP Pfff! UGH: Dong aack - Ugh dong Aack CRACK beep - Ugh? kling? Crack - Aack KLING? aack - dong! ",happy
7,"aack, aack; PFFF psss, pfff: CRACK, CRACK dong, ugh, kling? Djee? ugh - pfff Burp Aack! burp Kling - Burp UGH: CRACK; KLING ugh aack KLING? psss Djee Burp, DJEE djee, Ugh, BURP: Ugh? KLING, burp CRACK burp djee beep UGH ugh: beep beep pfff Beep? KLING CRACK UGH Crack, djee - KLING; CRACK - kling? DJEE Pfff, ",happy
8,"kling Aack kling: Kling: dong! Aack: KLING, AACK - CRACK AACK; UGH, Kling! Kling UGH burp BURP; Burp, crack: crack; kling - Psss Psss BURP? Crack Kling Burp: Aack: burp Aack AACK Aack burp djee! dong ugh dong? CRACK! Pfff? burp djee PSSS Psss crack ",happy
9,"kling dong Pfff: Pfff kling! Ugh - AACK? DONG - BURP? burp: pfff? Beep; kling crack; AACK - Djee CRACK; DONG: Crack psss DONG: aack: burp! Dong - CRACK Kling, Aack; dong? crack, Ugh PSSS crack, PSSS aack - Beep - KLING, crack PSSS KLING; ugh? Dong djee: psss Aack! Djee - ",happy
